Date,Sunrise,Sunset
1/1/2020,8:57:30,17:27:59
1/2/2020,8:57:28,17:28:57
1/3/2020,8:57:24,17:29:57
1/4/2020,8:57:17,17:30:59
1/5/2020,8:57:07,17:32:03
1/6/2020,8:56:54,17:33:09
1/7/2020,8:56:38,17:34:17
1/8/2020,8:56:19,17:35:27
1/9/2020,8:55:58,17:36:38
1/10/2020,8:55:34,17:37:51
1/11/2020,8:55:07,17:39:06
1/12/2020,8:54:37,17:40:23
1/13/2020,8:54:05,17:41:41
1/14/2020,8:53:30,17:43:00
1/15/2020,8:52:52,17:44:21
1/16/2020,8:52:12,17:45:43
1/17/2020,8:51:29,17:47:07
1/18/2020,8:50:43,17:48:31
1/19/2020,8:49:55,17:49:57
1/20/2020,8:49:05,17:51:23
1/21/2020,8:48:12,17:52:51
1/22/2020,8:47:17,17:54:19
1/23/2020,8:46:20,17:55:48
1/24/2020,8:45:20,17:57:18
1/25/2020,8:44:18,17:58:49
1/26/2020,8:43:13,18:00:20
1/27/2020,8:42:07,18:01:51
1/28/2020,8:40:58,18:03:24
1/29/2020,8:39:48,18:04:56
1/30/2020,8:38:35,18:06:30
1/31/2020,8:37:20,18:08:03
2/1/2020,8:36:04,18:09:37
2/2/2020,8:34:45,18:11:11
2/3/2020,8:33:25,18:12:45
2/4/2020,8:32:02,18:14:19
2/5/2020,8:30:39,18:15:54
2/6/2020,8:29:13,18:17:29
2/7/2020,8:27:45,18:19:03
2/8/2020,8:26:16,18:20:38
2/9/2020,8:24:46,18:22:13
2/10/2020,8:23:14,18:23:47
2/11/2020,8:21:40,18:25:22
2/12/2020,8:20:05,18:26:56
2/13/2020,8:18:28,18:28:31
2/14/2020,8:16:51,18:30:05
2/15/2020,8:15:11,18:31:39
2/16/2020,8:13:31,18:33:13
2/17/2020,8:11:49,18:34:47
2/18/2020,8:10:06,18:36:20
2/19/2020,8:08:22,18:37:53
2/20/2020,8:06:37,18:39:26
2/21/2020,8:04:51,18:40:59
2/22/2020,8:03:03,18:42:32
2/23/2020,8:01:15,18:44:04
2/24/2020,7:59:26,18:45:36
2/25/2020,7:57:35,18:47:08
2/26/2020,7:55:44,18:48:39
2/27/2020,7:53:52,18:50:10
2/28/2020,7:52:00,18:51:41
2/29/2020,7:50:06,18:53:12
3/1/2020,7:48:12,18:54:42
3/2/2020,7:46:17,18:56:12
3/3/2020,7:44:21,18:57:42
3/4/2020,7:42:25,18:59:11
3/5/2020,7:40:28,19:00:41
3/6/2020,7:38:31,19:02:10
3/7/2020,7:36:33,19:03:38
3/8/2020,7:34:35,19:05:07
3/9/2020,7:32:36,19:06:35
3/10/2020,7:30:36,19:08:03
3/11/2020,7:28:37,19:09:31
3/12/2020,7:26:37,19:10:58
3/13/2020,7:24:36,19:12:26
3/14/2020,7:22:36,19:13:53
3/15/2020,7:20:35,19:15:20
3/16/2020,7:18:34,19:16:46
3/17/2020,7:16:33,19:18:13
3/18/2020,7:14:31,19:19:39
3/19/2020,7:12:30,19:21:06
3/20/2020,7:10:28,19:22:32
3/21/2020,7:08:26,19:23:58
3/22/2020,7:06:24,19:25:23
3/23/2020,7:04:22,19:26:49
3/24/2020,7:02:21,19:28:15
3/25/2020,7:00:19,19:29:40
3/26/2020,6:58:17,19:31:06
3/27/2020,6:56:16,19:32:31
3/28/2020,6:54:14,19:33:56
3/29/2020,6:52:13,19:35:21
3/30/2020,6:50:12,19:36:47
3/31/2020,6:48:11,19:38:12
4/1/2020,6:46:11,19:39:37
4/2/2020,6:44:11,19:41:02
4/3/2020,6:42:11,19:42:27
4/4/2020,6:40:11,19:43:52
4/5/2020,6:38:12,19:45:17
4/6/2020,6:36:14,19:46:41
4/7/2020,6:34:15,19:48:06
4/8/2020,6:32:18,19:49:31
4/9/2020,6:30:21,19:50:56
4/10/2020,6:28:24,19:52:21
4/11/2020,6:26:28,19:53:46
4/12/2020,6:24:32,19:55:11
4/13/2020,6:22:38,19:56:35
4/14/2020,6:20:44,19:58:00
4/15/2020,6:18:50,19:59:25
4/16/2020,6:16:58,20:00:50
4/17/2020,6:15:06,20:02:15
4/18/2020,6:13:15,20:03:39
4/19/2020,6:11:25,20:05:04
4/20/2020,6:09:35,20:06:28
4/21/2020,6:07:47,20:07:53
4/22/2020,6:06:00,20:09:17
4/23/2020,6:04:13,20:10:42
4/24/2020,6:02:28,20:12:06
4/25/2020,6:00:44,20:13:30
4/26/2020,5:59:01,20:14:54
4/27/2020,5:57:19,20:16:18
4/28/2020,5:55:38,20:17:42
4/29/2020,5:53:59,20:19:05
4/30/2020,5:52:20,20:20:29
5/1/2020,5:50:44,20:21:52
5/2/2020,5:49:08,20:23:14
5/3/2020,5:47:34,20:24:37
5/4/2020,5:46:01,20:25:59
5/5/2020,5:44:30,20:27:21
5/6/2020,5:43:00,20:28:42
5/7/2020,5:41:32,20:30:03
5/8/2020,5:40:05,20:31:24
5/9/2020,5:38:40,20:32:44
5/10/2020,5:37:17,20:34:03
5/11/2020,5:35:55,20:35:22
5/12/2020,5:34:36,20:36:41
5/13/2020,5:33:18,20:37:58
5/14/2020,5:32:01,20:39:15
5/15/2020,5:30:47,20:40:31
5/16/2020,5:29:35,20:41:47
5/17/2020,5:28:24,20:43:01
5/18/2020,5:27:16,20:44:15
5/19/2020,5:26:09,20:45:28
5/20/2020,5:25:05,20:46:40
5/21/2020,5:24:03,20:47:50
5/22/2020,5:23:03,20:49:00
5/23/2020,5:22:05,20:50:08
5/24/2020,5:21:09,20:51:16
5/25/2020,5:20:16,20:52:21
5/26/2020,5:19:25,20:53:26
5/27/2020,5:18:36,20:54:29
5/28/2020,5:17:49,20:55:31
5/29/2020,5:17:05,20:56:32
5/30/2020,5:16:23,20:57:30
5/31/2020,5:15:44,20:58:28
6/1/2020,5:15:07,20:59:23
6/2/2020,5:14:33,21:00:17
6/3/2020,5:14:01,21:01:09
6/4/2020,5:13:32,21:01:59
6/5/2020,5:13:05,21:02:48
6/6/2020,5:12:40,21:03:34
6/7/2020,5:12:19,21:04:18
6/8/2020,5:12:00,21:05:01
6/9/2020,5:11:43,21:05:41
6/10/2020,5:11:29,21:06:19
6/11/2020,5:11:17,21:06:55
6/12/2020,5:11:09,21:07:29
6/13/2020,5:11:02,21:08:00
6/14/2020,5:10:59,21:08:30
6/15/2020,5:10:58,21:08:56
6/16/2020,5:10:59,21:09:21
6/17/2020,5:11:03,21:09:43
6/18/2020,5:11:09,21:10:02
6/19/2020,5:11:19,21:10:20
6/20/2020,5:11:30,21:10:34
6/21/2020,5:11:44,21:10:46
6/22/2020,5:12:00,21:10:56
6/23/2020,5:12:19,21:11:03
6/24/2020,5:12:41,21:11:07
6/25/2020,5:13:04,21:11:09
6/26/2020,5:13:30,21:11:08
6/27/2020,5:13:58,21:11:04
6/28/2020,5:14:29,21:10:58
6/29/2020,5:15:01,21:10:50
6/30/2020,5:15:36,21:10:38
7/1/2020,5:16:13,21:10:24
7/2/2020,5:16:52,21:10:08
7/3/2020,5:17:33,21:09:48
7/4/2020,5:18:16,21:09:27
7/5/2020,5:19:01,21:09:02
7/6/2020,5:19:48,21:08:35
7/7/2020,5:20:36,21:08:06
7/8/2020,5:21:26,21:07:34
7/9/2020,5:22:18,21:06:59
7/10/2020,5:23:12,21:06:22
7/11/2020,5:24:07,21:05:42
7/12/2020,5:25:04,21:05:00
7/13/2020,5:26:02,21:04:16
7/14/2020,5:27:02,21:03:29
7/15/2020,5:28:03,21:02:39
7/16/2020,5:29:05,21:01:48
7/17/2020,5:30:09,21:00:54
7/18/2020,5:31:14,20:59:58
7/19/2020,5:32:20,20:58:59
7/20/2020,5:33:27,20:57:58
7/21/2020,5:34:35,20:56:56
7/22/2020,5:35:44,20:55:51
7/23/2020,5:36:54,20:54:44
7/24/2020,5:38:04,20:53:35
7/25/2020,5:39:16,20:52:23
7/26/2020,5:40:28,20:51:10
7/27/2020,5:41:41,20:49:55
7/28/2020,5:42:55,20:48:39
7/29/2020,5:44:10,20:47:20
7/30/2020,5:45:25,20:45:59
7/31/2020,5:46:40,20:44:37
8/1/2020,5:47:57,20:43:13
8/2/2020,5:49:13,20:41:47
8/3/2020,5:50:30,20:40:20
8/4/2020,5:51:48,20:38:51
8/5/2020,5:53:05,20:37:20
8/6/2020,5:54:24,20:35:48
8/7/2020,5:55:42,20:34:14
8/8/2020,5:57:01,20:32:39
8/9/2020,5:58:20,20:31:03
8/10/2020,5:59:39,20:29:25
8/11/2020,6:00:58,20:27:46
8/12/2020,6:02:18,20:26:05
8/13/2020,6:03:38,20:24:24
8/14/2020,6:04:58,20:22:41
8/15/2020,6:06:18,20:20:57
8/16/2020,6:07:38,20:19:12
8/17/2020,6:08:58,20:17:25
8/18/2020,6:10:18,20:15:38
8/19/2020,6:11:38,20:13:49
8/20/2020,6:12:59,20:12:00
8/21/2020,6:14:19,20:10:10
8/22/2020,6:15:39,20:08:19
8/23/2020,6:17:00,20:06:27
8/24/2020,6:18:20,20:04:34
8/25/2020,6:19:40,20:02:40
8/26/2020,6:21:01,20:00:45
8/27/2020,6:22:21,19:58:50
8/28/2020,6:23:41,19:56:54
8/29/2020,6:25:02,19:54:57
8/30/2020,6:26:22,19:53:00
8/31/2020,6:27:42,19:51:02
9/1/2020,6:29:03,19:49:04
9/2/2020,6:30:23,19:47:05
9/3/2020,6:31:43,19:45:05
9/4/2020,6:33:03,19:43:05
9/5/2020,6:34:23,19:41:05
9/6/2020,6:35:44,19:39:04
9/7/2020,6:37:04,19:37:03
9/8/2020,6:38:24,19:35:01
9/9/2020,6:39:44,19:32:59
9/10/2020,6:41:05,19:30:57
9/11/2020,6:42:25,19:28:55
9/12/2020,6:43:45,19:26:52
9/13/2020,6:45:06,19:24:49
9/14/2020,6:46:26,19:22:46
9/15/2020,6:47:46,19:20:43
9/16/2020,6:49:07,19:18:39
9/17/2020,6:50:28,19:16:36
9/18/2020,6:51:48,19:14:32
9/19/2020,6:53:09,19:12:29
9/20/2020,6:54:30,19:10:25
9/21/2020,6:55:51,19:08:22
9/22/2020,6:57:12,19:06:18
9/23/2020,6:58:33,19:04:15
9/24/2020,6:59:55,19:02:12
9/25/2020,7:01:17,19:00:09
9/26/2020,7:02:38,18:58:06
9/27/2020,7:04:00,18:56:03
9/28/2020,7:05:22,18:54:00
9/29/2020,7:06:45,18:51:58
9/30/2020,7:08:07,18:49:56
10/1/2020,7:09:30,18:47:55
10/2/2020,7:10:53,18:45:54
10/3/2020,7:12:17,18:43:53
10/4/2020,7:13:40,18:41:53
10/5/2020,7:15:04,18:39:53
10/6/2020,7:16:28,18:37:53
10/7/2020,7:17:52,18:35:55
10/8/2020,7:19:17,18:33:56
10/9/2020,7:20:42,18:31:59
10/10/2020,7:22:07,18:30:02
10/11/2020,7:23:32,18:28:05
10/12/2020,7:24:58,18:26:10
10/13/2020,7:26:24,18:24:15
10/14/2020,7:27:51,18:22:21
10/15/2020,7:29:17,18:20:27
10/16/2020,7:30:44,18:18:35
10/17/2020,7:32:11,18:16:43
10/18/2020,7:33:39,18:14:53
10/19/2020,7:35:07,18:13:03
10/20/2020,7:36:35,18:11:14
10/21/2020,7:38:04,18:09:27
10/22/2020,7:39:32,18:07:40
10/23/2020,7:41:01,18:05:55
10/24/2020,7:42:31,18:04:11
10/25/2020,7:44:00,18:02:28
10/26/2020,7:45:30,18:00:46
10/27/2020,7:47:00,17:59:05
10/28/2020,7:48:30,17:57:26
10/29/2020,7:50:00,17:55:48
10/30/2020,7:51:31,17:54:12
10/31/2020,7:53:02,17:52:37
11/1/2020,7:54:32,17:51:04
11/2/2020,7:56:03,17:49:32
11/3/2020,7:57:34,17:48:02
11/4/2020,7:59:05,17:46:33
11/5/2020,8:00:36,17:45:06
11/6/2020,8:02:07,17:43:41
11/7/2020,8:03:38,17:42:18
11/8/2020,8:05:09,17:40:56
11/9/2020,8:06:39,17:39:36
11/10/2020,8:08:10,17:38:18
11/11/2020,8:09:40,17:37:03
11/12/2020,8:11:10,17:35:49
11/13/2020,8:12:40,17:34:37
11/14/2020,8:14:09,17:33:27
11/15/2020,8:15:38,17:32:20
11/16/2020,8:17:06,17:31:14
11/17/2020,8:18:34,17:30:11
11/18/2020,8:20:01,17:29:10
11/19/2020,8:21:27,17:28:11
11/20/2020,8:22:53,17:27:15
11/21/2020,8:24:18,17:26:21
11/22/2020,8:25:42,17:25:30
11/23/2020,8:27:05,17:24:41
11/24/2020,8:28:27,17:23:54
11/25/2020,8:29:49,17:23:11
11/26/2020,8:31:09,17:22:29
11/27/2020,8:32:27,17:21:51
11/28/2020,8:33:45,17:21:15
11/29/2020,8:35:01,17:20:41
11/30/2020,8:36:16,17:20:11
12/1/2020,8:37:29,17:19:43
12/2/2020,8:38:41,17:19:18
12/3/2020,8:39:51,17:18:56
12/4/2020,8:41:00,17:18:36
12/5/2020,8:42:07,17:18:20
12/6/2020,8:43:12,17:18:06
12/7/2020,8:44:15,17:17:55
12/8/2020,8:45:16,17:17:47
12/9/2020,8:46:15,17:17:42
12/10/2020,8:47:11,17:17:40
12/11/2020,8:48:06,17:17:41
12/12/2020,8:48:59,17:17:44
12/13/2020,8:49:49,17:17:51
12/14/2020,8:50:37,17:18:00
12/15/2020,8:51:22,17:18:13
12/16/2020,8:52:05,17:18:28
12/17/2020,8:52:46,17:18:46
12/18/2020,8:53:24,17:19:07
12/19/2020,8:53:59,17:19:31
12/20/2020,8:54:32,17:19:57
12/21/2020,8:55:02,17:20:27
12/22/2020,8:55:29,17:20:59
12/23/2020,8:55:54,17:21:34
12/24/2020,8:56:16,17:22:11
12/25/2020,8:56:35,17:22:52
12/26/2020,8:56:51,17:23:34
12/27/2020,8:57:05,17:24:20
12/28/2020,8:57:15,17:25:07
12/29/2020,8:57:23,17:25:57
12/30/2020,8:57:28,17:26:50
12/31/2020,8:57:30,17:27:45
